"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"1",1,1,"x1",0.624174475181752,0.613734877270134,0.586813388431463,9.04360465152382,130.021352119306,21.6858667203351,134.934110598485,61.4101572686933,1.70097776543547,0.41758391646472,0.0461693964903915
"2",2,1,"x2",0.500307698926105,0.486427357229608,0.452800743699462,23.2301678158679,140.846317316105,31.4371191554426,145.759075795284,81.6500763479096,2.26159597354925,0.555213667859884,0.0613861764249083
"3",3,1,"x3",0.301074096117552,0.281659487676373,0.227737664987103,46.048555249072,153.597301769231,43.1049655359447,158.51006024841,114.204988331598,3.16332272206864,0.776584337647164,0.0858616167418631
"4",4,1,"x4",0.0022128061062359,-0.0255035048352574,-0.0983857767159306,80.2773831582797,167.125122691081,55.7248433480903,172.03788117026,163.039135054323,4.51596211372373,1.10865243765974,0.122576114515358
"5",5,1,"x5",0.000808907898999466,-0.0269464002149171,-0.110560736928837,80.4381727678532,167.178551555118,55.775155542748,172.091310034297,163.268533016948,4.52231612503416,1.11021232455667,0.122748580536642
"8",6,2,"x1 x4",0.661111646046378,0.641746597249028,0.605823300146338,6.81316027068608,128.090089016101,20.1241788373956,134.640433655007,57.003261983851,1.61706445269614,0.396983500345671,0.0440806665727786
"6",7,2,"x1 x2",0.658551520887921,0.639040179224374,0.607570364177005,7.10637349837284,128.376080338319,20.3654026951791,134.926424977225,57.4338919639504,1.62928053312468,0.399982504102721,0.0444136730693959
"9",8,2,"x1 x5",0.633404046714526,0.612455706526785,0.566898291168422,9.98653427730741,131.076493173028,22.6494468871483,137.626837811934,61.6638634038493,1.74927605993012,0.429440973848698,0.0476847132549099
"7",9,2,"x1 x3",0.626631661532627,0.60529632790592,0.559986558514925,10.7621810896374,131.772088422115,23.2397699744849,138.322433061021,62.8030233728348,1.78159166832991,0.437374339347494,0.0485656265398397
"11",10,2,"x2 x4",0.537806559535772,0.511395505794959,0.46970002354528,20.9353926492644,139.881975111623,30.1905735655331,146.432319750529,77.7439928714855,2.20543602081503,0.541426601686667,0.0601194898070095
"10",11,2,"x2 x3",0.537151239512759,0.510702738913488,0.455271395937432,21.0104469873232,139.935815174303,30.2371662930192,146.486159813209,77.8542220325625,2.20856299376052,0.542194262285054,0.0602047301025107
"12",12,2,"x2 x5",0.500544029191103,0.472003688002024,0.400329636307462,25.2031007173819,142.828340904615,32.7494208586171,149.37868554352,84.0117968684001,2.38324063562372,0.585076994376136,0.0649663874847213
"14",13,2,"x3 x5",0.344244674979532,0.30677294212122,0.2547521948294,43.1041935535455,153.174535983257,41.8828463896184,159.724880622163,110.302381753026,3.12905006438174,0.768170523595405,0.0852969171065323
"13",14,2,"x3 x4",0.318508045475768,0.279565648074383,0.204200335280026,46.0518307741907,154.637410822983,43.1925845508852,161.187755461888,114.631453015195,3.25185684784661,0.798319146728387,0.0886445912612418
"15",15,2,"x4 x5",0.00363393993055689,-0.0533012635019827,-0.155353746012757,82.1146195393888,169.070961262555,56.3398419546415,175.621305901461,167.595359626104,4.75433315667053,1.16717167036706,0.129601621200488
"17",16,3,"x1 x2 x4",0.703767154615223,0.677628962375389,0.637877345458354,3.92778999698006,124.97814171912,18.0702071806221,133.166072517752,51.3382725829804,1.49059087062198,0.365934691357666,0.0408675707674136
"21",17,3,"x1 x4 x5",0.680115784857516,0.651890707050827,0.593450539564416,6.63660071389462,127.897047793242,20.3526625405398,136.084978591874,55.4371444214655,1.60960034707875,0.395151089293656,0.0441304568463149
"19",18,3,"x1 x3 x4",0.664571757723889,0.634975148111291,0.578616094270204,8.41687085109726,129.700107815886,21.7737338388723,137.888038614517,58.1309831178021,1.68781512069033,0.414352534576373,0.0462748734388403
"18",19,3,"x1 x2 x5",0.662503763266282,0.632724683554484,0.573125849720726,8.6537199472245,129.933667566583,21.9584692926646,138.121598365215,58.4893743793342,1.69822090015412,0.416907115965181,0.0465601689796946
"16",20,3,"x1 x2 x3",0.659113828357281,0.629035636741747,0.581644242671103,9.04197196413585,130.31344922718,22.259188090229,138.501380025812,59.0768629212304,1.71527844831627,0.421094682617476,0.0470278362453234
"20",21,3,"x1 x3 x5",0.640892912636452,0.609206993163198,0.54657145057444,11.1288283399911,132.292186117952,23.832692328611,140.480116916584,62.2346165348529,1.80696284810847,0.44360287262556,0.04954154994814
"22",22,3,"x2 x3 x4",0.57861160539567,0.541430276459994,0.472481029212527,18.2619573826466,138.36969040705,28.7388956616607,146.557621205682,73.0282026539022,2.12035128369173,0.520538605099466,0.0581337292787054
"23",23,3,"x2 x3 x5",0.541983958336423,0.501570778189637,0.422072923341148,22.4569517489718,141.536961833726,31.3409545446271,149.724892632358,79.3759124305083,2.3046550743398,0.565784522055007,0.0631867913599656
"24",24,3,"x2 x4 x5",0.538157553484425,0.497406749380109,0.416967357950139,22.8951930253347,141.853106599311,31.6023970587701,150.041037397943,80.0390428644397,2.32390886144866,0.570511257460417,0.063714672969011
"25",25,3,"x3 x4 x5",0.379825891105188,0.325104646202705,0.259208583962752,41.0290477776597,153.054611750723,41.0627581882888,161.242542549355,107.478518832014,3.12060556186465,0.766097428634768,0.0855577282473714
"28",26,4,"x1 x2 x4 x5",0.714708422297619,0.68012762500036,0.610224988682979,4.67467766317753,125.548047896574,19.285395376726,135.373564854932,50.9871754312835,1.51425264166119,0.371743570945527,0.0418180235342479
"26",27,4,"x1 x2 x3 x4",0.704721281045207,0.668929921171898,0.609952366976942,5.81851311681164,126.855551264527,20.2220956776053,136.681068222886,52.7720725782472,1.56726176007226,0.384757118638064,0.0432819381415305
"29",28,4,"x1 x3 x4 x5",0.693208823919625,0.656022014697761,0.579348936562797,7.1370442445758,128.308959594443,21.2711501690015,138.134476552802,54.8295734544894,1.62836685386725,0.399758199135034,0.0449694334643572
"27",29,4,"x1 x2 x3 x5",0.665054013181295,0.624454499627513,0.548111283599981,10.3616377392439,131.64543474002,23.711657804652,141.470951698379,59.8613878736565,1.77780518246895,0.436444770703161,0.0490963640507414
"30",30,4,"x2 x3 x4 x5",0.592045560980157,0.542596538068661,0.450645847612712,18.723355465269,139.138510858763,29.3624444042577,148.964027817121,72.909423817533,2.16531484013048,0.531576996298583,0.0597979388989522
"31",31,5,"x1 x2 x3 x4 x5",0.720599218128954,0.676942845961603,0.587006465047463,6,126.755197211034,21.0955561874792,138.218300329119,51.545161491369,1.56489494912365,0.384176075072688,0.0435967801075503
