"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"43",28,2,"x7 x8",0.727494404658684,0.707308805003771,0.641526048634222,7.0991384225353,163.237451389341,77.8865828310779,168.84224091599,345.433387112295,12.6464348072346,0.333062394306053,0.442183035217991
"30",29,2,"x3 x9",0.726393299111326,0.706126136082535,0.650243737401371,7.22479981966084,163.358427281707,77.9836866987026,168.963216808355,346.829169897289,12.6975348938332,0.334408189975047,0.443969751532628
"27",30,2,"x3 x6",0.723181902320282,0.70267685804771,0.64088810390514,7.59129384782661,163.7084950736,78.264880881429,169.313284600249,350.899998863213,12.8465693388222,0.338333230497433,0.449180746112664
"22",31,2,"x2 x7",0.713184363178506,0.691938760450988,0.625978436183558,8.73224236033465,164.772865839647,79.12178348056,170.377655366296,363.57307371955,13.3105349569626,0.350552445004048,0.465403320173516
"20",32,2,"x2 x5",0.68994466177418,0.666977599683379,0.619494600201055,11.3844252997943,167.110200730306,81.0145615595005,172.714990256955,393.032170739264,14.3890426051497,0.378956524498224,0.503113377802437
"37",33,2,"x5 x7",0.687135007004657,0.663959822338336,0.617258858023397,11.7050713492359,167.380829927878,81.2347572461725,172.985619454527,396.593743713342,14.5194330135709,0.382390546994308,0.507672482991989
"24",34,2,"x2 x9",0.68419703907542,0.66080422715508,0.598382769489013,12.0403608731002,167.661231303474,81.4631404591952,173.266020830123,400.317968941645,14.6557781768191,0.385981396685598,0.512439796392275
"44",35,2,"x7 x9",0.677054357632644,0.653132458198025,0.590304047826784,12.8555046451711,168.332197546967,82.0106238772771,173.936987073615,409.372170712261,14.9872556097935,0.394711340671213,0.524029916426345
"19",36,2,"x2 x4",0.674922127814182,0.650842285430048,0.597146470649543,13.0988409707608,168.529619782314,82.1719822023926,174.134409308963,412.075026656817,15.0862080931707,0.397317399338221,0.527489793467507
"21",37,2,"x2 x6",0.670956773095702,0.64658320073242,0.565395533299021,13.5513788906888,168.893350898732,82.4695933437274,174.49814042538,417.101587340061,15.270232204206,0.402163943994143,0.533924202944266
